layer,head,pair,dim0,dim1,pre_spread,pre_anisotropy,pre_mean_compactness,pre_balance,pre_mu_norm,pre_mu_angle,pre_pca_angle,pre_lam1,pre_lam2,post_spread,post_anisotropy,post_mean_compactness,post_balance,post_mu_norm,post_mu_angle,post_pca_angle,post_lam1,post_lam2,mu_drift,pca_drift,shape_label,shape_source,orientation_source,orientation_label,base_angle_rad,base_angle_deg,diag_distance_rad,diag_distance_deg,axis_distance_rad,axis_distance_deg,target_diag_angle_rad,target_diag_angle_deg,suggested_alpha_rad,suggested_alpha_deg,orig_suggested_alpha_rad,orig_suggested_alpha_deg,residual_gamma,delta_phi_deg,delta_phi_rad,base_k_scale,base_q_scale,final_k_scale,final_q_scale,baseline_logit_mse,baseline_sink_logit_mse,baseline_attention_kl,baseline_margin_mse,baseline_top1_match_rate,baseline_attention_l1,best_logit_mse,best_sink_logit_mse,best_attention_kl,best_margin_mse,best_top1_match_rate,best_attention_l1,qk_loss_score
0,0,33,66,67,0.28393390439659916,0.9872010428576127,0.9886836804186356,0.030181586742401123,4.9806349085555395,-1.5861658739105131,1.5369755784669006,0.28211687546027137,0.0018170289363277975,9.836773224530699,0.7820336803853609,0.607950710036564,0.5529207587242126,3.9056217341551314,-0.406731866255987,1.1648621884226242,8.764730596213699,1.0720426283170004,1.179434007654526,0.37211339004427635,elongated,post,post_mean,intermediate,-0.406731866255987,-23.30401932994752,0.37866629714146127,21.69598067005248,0.406731866255987,23.30401932994752,-0.7853981633974483,-45.0,-0.3786662971,-21.6959806701,-0.37866629714146127,-21.69598067005248,0.9000000000,0.0000000000,0.0000000000,1.1516802460,0.8682965636,1.0365122214,0.9647739596,22.9223596448,20.5314172940,2.5620054653,17.5845624933,0.6562500000,0.8177963833,22.6228060592,12.3842264365,2.3517417536,12.1337517512,0.6250000000,0.7483366855,4.7291832232
0,0,39,78,79,0.19309394722586298,0.9867970340524119,0.9947685672226906,0.07553589344024658,6.059475483383925,1.5313402635131146,1.4960070118678324,0.19181924082140217,0.0012747064044608177,1.6204973764326498,0.7563721503799337,0.9560963753131889,0.4555623531341553,5.940524802164985,1.876004365328288,-2.832685528890821,1.4230982308654052,0.19739914556724467,0.34466410181517343,1.1870998871688598,elongated,post,post_mean,intermediate,1.876004365328288,107.48713248142953,0.48019012486405677,27.512867518570467,0.3052080385333915,17.487132481429533,2.356194490192345,135.0,0.3929236623,22.5128675186,0.48019012486405677,27.512867518570467,0.9000000000,-5.0000000000,-0.0872664626,1.1014048853,0.9079313278,0.9912643968,1.0088125865,19.3819442436,8.7806339048,1.7057189164,16.1109904093,0.6562500000,0.7543448519,20.5285346111,4.6129520558,1.8847795511,12.7572212108,0.6250000000,0.7039964788,5.1316548690
0,1,33,66,67,0.43984666591638877,0.7314079328945751,0.9777096037356251,0.09705096483230591,4.392347562727782,-1.544957910661278,1.4756614035029878,0.3807770033127984,0.05906966260359034,7.867259914434757,0.7540399318291405,0.6013056818505153,0.5686712265014648,3.444604620016739,-0.36561389757194734,1.2066240068199794,6.8997440219990125,0.9675158924357447,1.1793440130893307,0.2690373966830084,elongated,post,post_mean,intermediate,-0.36561389757194734,-20.948133262200958,0.41978426582550094,24.051866737799042,0.36561389757194734,20.948133262200958,-0.7853981633974483,-45.0,-0.3325178032,-19.0518667378,-0.41978426582550094,-24.051866737799042,1.0000000000,5.0000000000,0.0872664626,1.1208216411,0.8922026157,1.1208216411,0.8922026157,8.4290766860,3.3641449379,0.9738109516,6.0755173941,0.8125000000,0.6911798753,8.3747810032,3.6485309446,0.9916369051,4.5704233517,0.7812500000,0.6925949668,5.9615070444
0,1,38,76,77,2.7447184482288467,0.9811608019030259,0.916139227985102,0.08220398426055908,5.475833222585388,-1.5676184082947677,1.691524857450999,2.718864300946036,0.025854147282810692,4.488919615809184,0.19459753952508274,0.8628477452167046,0.5794142484664917,5.314183206037135,-1.143563188196109,2.3923750830909527,2.681226164085863,1.8076934517233212,0.42405522009865876,0.7008502256399538,isotropic_scatter,post,post_mean,intermediate,-1.143563188196109,-65.52134429016172,0.3581650247986608,20.521344290161732,0.4272331385987875,24.478655709838268,-0.7853981633974483,-45.0,0.2708985622,15.5213442902,0.3581650247986608,20.521344290161732,0.9000000000,-5.0000000000,-0.0872664626,0.9897948083,1.0103104115,0.8908153274,1.1225671238,8.3426509442,2.3326518507,1.0915567607,3.8135900378,0.7187500000,0.6642746486,8.3775002847,2.1413406536,0.7030437071,3.4323227779,0.8125000000,0.5906607267,5.0483210669
0,1,39,78,79,0.6898321812438474,0.9430594361171568,0.9868214580047215,0.06043589115142822,7.187160363463906,3.1221415779457944,2.9208263203487705,0.6701924645520407,0.019639716691806666,2.704570455775965,0.534239769888144,0.9483319263313162,0.48366695642471313,7.045603524003047,-2.81656749323744,1.9825307363547895,2.0747297768582618,0.6298406789177031,0.3444762359963518,0.938295583993981,elongated,post,post_mean,intermediate,-2.81656749323744,-161.37743007624735,0.460373003045095,26.37743007624734,0.325025160352354,18.622569923752703,-2.356194490192345,-135.0,0.5476394656,31.3774300762,0.460373003045095,26.37743007624734,0.9000000000,5.0000000000,0.0872664626,0.8235341703,1.2142786980,0.7411807532,1.3491985533,5.9194231446,6.8520963726,1.0930531239,4.6661663938,0.4687500000,0.7523563601,5.9274140792,3.0911548649,0.9049532082,3.9340376543,0.6562500000,0.6568464422,4.4225258254
0,1,44,88,89,0.7748609959199542,0.23132891143211848,0.4683926304724961,0.4540637135505676,0.8262689454466815,-1.8242834425232406,2.2998083281034707,0.4770543733087778,0.2978066226111763,0.7777407126641411,0.23183832197443632,0.4664169224925177,0.46865636110305786,0.8245244578018475,-1.700344472689743,2.4340399665404546,0.47902540720981485,0.2987153054543263,0.12393896983349761,0.13423163843698394,isotropic_scatter,post,post_mean,axis_like,-1.700344472689743,-97.42256200351974,0.6558500175026019,37.577437996480256,0.12954814589484642,7.422562003519741,-2.356194490192345,-135.0,-0.6558500175,-37.5774379965,-0.6558500175026019,-37.577437996480256,1.0000000000,0.0000000000,0.0000000000,2.7470856902,0.3640221357,2.7470856902,0.3640221357,8.2930444715,3.9925644372,1.0502944711,3.3925899425,0.7187500000,0.6635476329,8.2930444715,3.9925644372,1.0502944711,3.3925899425,0.7187500000,0.6635476329,6.0000000000
0,2,36,72,73,5.345022808665145,0.9791371321026958,0.10687494152105906,0.31387847661972046,0.7997543098594143,-2.935283760813404,2.980240474681903,5.289266556283005,0.05575625238213938,5.42507245605817,0.7197710641807139,0.09349891600116751,0.5804321765899658,0.7480349600796207,-2.3017926749428863,-2.6709843917916993,4.664941315506679,0.7601311405514911,0.6334910858705176,0.6319604407059842,elongated,post,post_mean,already_diagonal,-2.3017926749428863,-131.8830055883556,0.05440181524945853,3.1169944116444155,0.7309963481479897,41.88300558835559,-2.356194490192345,-135.0,0.0328646474,1.8830055884,-0.05440181524945853,-3.1169944116444155,0.9000000000,5.0000000000,0.0872664626,1.3153113615,0.7602762580,1.1837802253,0.8447513978,11.8005641680,15.6791984104,1.5406630603,3.6355828250,0.5000000000,0.8744593347,11.8461898208,15.7214721053,1.4830808706,3.1341006938,0.5625000000,0.8342172750,5.8165716398
0,2,38,76,77,2.7216881048817285,0.9798047166311826,0.9282367352773934,0.1270456314086914,5.933315736639527,0.04954500854021322,3.029869295632707,2.6942054736224055,0.02748263125932289,4.76556651222846,0.15880386065597374,0.874345387340239,0.6466633677482605,5.758502522197277,0.4730816587404154,2.9886583543585448,2.761178436291661,2.004388075936799,0.4235366502002022,0.04121094127416214,isotropic_scatter,post,post_mean,intermediate,0.4730816587404154,27.105582410874096,0.31231650465703287,17.894417589125904,0.4730816587404154,27.105582410874096,0.7853981633974483,45.0,0.2250500421,12.8944175891,0.31231650465703287,17.894417589125904,0.9000000000,-5.0000000000,-0.0872664626,0.8796206622,1.1368536949,0.7916585960,1.2631707721,12.2300185302,9.4421200515,1.5457933299,3.0224104072,0.5000000000,0.8871001268,12.5250598929,4.7930889262,1.3611073818,1.3244185624,0.5937500000,0.7388221070,4.2586277751
0,2,39,78,79,5.482518926094511,0.9864104238023601,0.8937915180907895,0.08659589290618896,6.792483367088375,-0.0007452097625758947,3.036441911950175,5.445266371744422,0.03725255435008908,7.277665102501519,0.44771372865894393,0.8590155595329686,0.5239554643630981,6.65902976313482,0.34450442282010846,-2.946179221705839,5.267987840736999,2.0096772617645207,0.3452496325826844,0.3005641735235723,isotropic_scatter,post,post_mean,intermediate,0.34450442282010846,19.73864945118262,0.4408937405773398,25.26135054881738,0.34450442282010846,19.73864945118262,0.7853981633974483,45.0,0.3536272780,20.2613505488,0.4408937405773398,25.26135054881738,0.9000000000,-5.0000000000,-0.0872664626,0.7656095729,1.3061487675,0.6890486156,1.4512764083,9.4313168036,9.7549974533,1.0265918322,4.2538759340,0.6250000000,0.6299179156,9.8570076746,7.2138864700,1.0011032803,3.5080647378,0.6562500000,0.6744367929,5.3191676546
0,2,41,82,83,3.782367269842095,0.9519831227587451,0.6487910406038445,0.3460383415222168,2.643330561533148,-1.638964647110077,1.300047434587549,3.691558537403897,0.09080873243819801,3.9051403343366626,0.8630823730375414,0.6373910021460857,0.3579832911491394,2.620004266340015,-1.411025380989663,1.5202081485290821,3.6377990605707153,0.2673412737659475,0.227939266120414,0.22016071394153314,elongated,post,post_mean,axis_like,-1.411025380989663,-80.8457991165467,0.6256272175922146,35.84579911654671,0.15977094580523366,9.154200883453292,-0.7853981633974483,-45.0,0.7128936802,40.8457991165,0.6256272175922146,35.84579911654671,0.9000000000,5.0000000000,0.0872664626,1.2145244453,0.8233675361,1.0930720007,0.9148528179,11.6435443687,13.3189727854,1.7491409958,3.6479357057,0.5000000000,0.8821980982,11.7237407842,11.8408407741,1.5171062678,2.7220926431,0.5625000000,0.7893305356,5.2858168188
